,CD14+_Monocytes,CD4_T_cells,FCGR3A+_Monocytes,NK_cells,Dendritic_cells,CD8_T_cells,B_cells_1,B_cells_2
ORAI3,248.32712,135.15573,86.9736,49.44319,94.66494,52.807037,66.04726,11.781504
SETD1A,256.4946,427.53613,66.45763,16.437922,39.626694,44.66407,79.498024,21.800098
STX1B,37.871696,23.623022,0.0,0.0,0.0,0.0,0.0,0.0
STX4,539.4804,690.7378,122.14408,106.390976,77.44251,231.43677,120.174706,4.8607345
AC135050.3,107.403915,78.77405,7.933098,8.872603,0.0,31.721115,13.057027,0.0
AC135050.1,7.3433304,10.3070345,0.0,0.0,0.0,0.0,12.687417,0.0
ZNF668,165.54897,116.70486,19.516308,33.53113,18.47057,73.34025,24.235754,0.0
AC135050.4,26.413462,23.678406,0.0,0.0,0.0,0.0,10.495818,0.0
ZNF646,197.08276,292.7278,40.770504,24.703917,8.178627,40.24752,46.677753,3.5065398
PRSS53,14.670218,47.030487,0.0,10.733092,0.0,7.361682,0.0,0.0
VKORC1,274.66263,727.153,106.46585,96.14558,49.607986,268.10342,121.82047,24.365051
BCKDK,371.31226,170.71503,108.015205,34.33025,43.23945,45.24034,73.797035,0.0
KAT8,859.25653,1158.9473,136.77963,48.006275,103.96699,160.40857,173.89236,5.694113
AC135050.5,43.498756,9.006772,0.0,0.0,0.0,7.9333963,0.0,0.0
AC135050.6,132.43617,122.780075,8.681262,7.6078115,16.756634,40.64376,49.29177,6.48822
PRSS36,45.646667,0.0,0.0,0.0,0.0,18.543135,0.0,0.0
FUS,3391.3252,7497.622,664.5403,653.13477,404.07047,1359.1835,1115.3258,101.66324
AC009088.2,6.9253283,7.0360975,0.0,0.0,0.0,0.0,0.0,0.0
AC009088.1,11.784095,0.0,5.1402144,0.0,0.0,0.0,7.0130796,0.0
PYCARD,1815.0698,1069.6517,826.66205,220.88686,386.55466,414.89124,252.68132,55.271587
PYCARD-AS1,49.69068,111.95537,10.613977,18.423334,2.394277,13.337555,69.624245,6.281387
TRIM72,23.531792,7.7701926,11.1915045,0.0,0.0,7.5101557,15.998682,0.0
ITGAM,2407.5857,243.19872,92.0082,435.47598,71.117676,431.0698,50.519512,0.0
ITGAX,3022.0183,120.02243,698.5133,153.9315,490.80164,89.87412,74.85482,0.0
ITGAD,23.771564,0.0,6.850312,0.0,0.0,21.906887,0.0,0.0
ZNF843,0.0,21.722187,0.0,7.0407224,0.0,0.0,0.0,0.0
AC026471.4,84.13829,213.22675,5.2714324,17.339659,9.315699,26.00425,82.9963,3.2583117
AC026471.1,72.162056,169.89325,16.081894,0.0,15.467804,18.025604,20.405794,5.4881897
ARMC5,112.79747,72.02505,8.809213,0.0,10.6013,21.197815,24.402218,8.521548
SLC5A2,6.658,37.795296,0.0,0.0,0.0,6.3051796,0.0,0.0
AC026471.3,0.0,10.465319,0.0,0.0,0.0,0.0,8.813439,0.0
C16orf58,224.00233,572.9575,65.33081,34.630688,42.96552,70.87581,94.831085,12.231943
AC026471.2,3.2890525,57.092323,3.2890525,7.6644354,0.0,0.0,9.649683,3.2583117
AC074050.3,0.0,19.845497,0.0,8.426486,0.0,0.0,0.0,0.0
ZNF720,202.189,1034.7762,28.878138,56.06705,59.11567,259.42868,159.54607,11.624367
ZNF267,852.54126,711.2227,190.54065,40.498558,82.148026,114.142815,127.50023,11.682305
TP53TG3D,0.0,18.595163,0.0,0.0,0.0,8.078039,0.0,0.0
SHCBP1,47.23717,40.265636,10.928639,0.0,18.487322,0.0,6.6000853,0.0
AC092368.3,14.80928,7.9176893,14.589074,8.061669,0.0,0.0,0.0,0.0
VPS35,1749.6357,2045.2177,549.4111,104.50451,306.82172,371.7798,448.76248,29.189793
ORC6,74.234,68.19998,19.778875,6.2356176,17.683039,31.737785,30.847073,3.2583117
MYLK3,16.75031,18.67817,0.60035974,0.0,8.16648,7.0826445,0.0,0.0
C16orf87,398.1064,428.2404,91.10608,37.298927,63.045082,87.52661,118.419975,19.685852
GPT2,56.36028,17.710583,0.0,0.0,16.638361,0.0,42.742317,0.0
DNAJA2,626.83875,1294.8204,120.96095,40.39158,84.94694,236.4196,148.0567,13.167808
AC018845.3,14.496364,36.384594,0.0,12.326834,0.0,8.447414,17.898653,0.0
NETO2,563.7725,129.3595,36.53596,0.0,3.4014378,17.97223,21.540731,0.0
ITFG1-AS1,34.1743,20.61155,8.989719,0.0,15.837193,32.177994,7.5684066,0.0
ITFG1,4981.1006,4823.682,649.90344,326.12717,233.07722,871.87384,857.8487,55.593468
AC007494.2,31.24137,36.783928,5.4819536,0.0,0.0,6.4556236,0.0,0.0
AC007533.1,221.49617,280.45322,41.658806,6.954007,20.564018,43.101902,31.399971,3.171954
PHKB,3500.7556,2664.5156,575.96,179.25572,223.23502,398.0414,889.61365,70.58898
AC007599.2,4.757344,9.050922,5.219647,0.0,8.693445,16.426394,0.0,0.0
LINC02133,5.4115515,6.566182,4.907203,0.0,0.0,0.0,0.0,0.0
ABCC11,33.866737,23.904295,8.734194,0.0,2.496373,18.238985,5.6050005,3.1086278
LONP2,2066.922,3275.696,290.61444,262.37332,108.78977,489.34628,478.02557,56.200283
SIAH1,611.09564,791.716,53.69719,41.224323,41.52692,183.1417,162.92952,13.397749
N4BP1,2080.8323,2590.008,262.5372,141.85056,119.5508,576.2168,284.84027,15.492961
AC026470.2,248.3781,514.4205,67.63346,31.15558,13.456752,69.94708,38.56705,3.320437
AC007611.1,113.24612,56.54223,4.235006,0.0,0.0,0.0,2.4508476,2.4508476
AC023813.3,5.726578,16.589745,0.0,0.0,0.0,0.0,0.0,0.0
ZNF423,18.550117,13.834547,0.0,0.0,0.0,0.0,12.47357,3.114624
CNEP1R1,260.13968,313.06903,107.306305,23.066935,49.36824,30.86865,13.333003,0.0
AC007610.1,19.365995,25.705042,4.058562,0.0,0.0,8.555333,0.0,0.0
HEATR3,716.0436,499.38095,129.32655,41.557003,61.56406,109.40465,38.010338,21.003813
AC007610.2,8.414652,0.0,0.0,0.0,0.0,7.873369,6.42686,6.42686
AC007610.5,0.0,9.4453745,5.07694,0.0,0.0,0.0,0.0,0.0
TENT4B,1599.4764,1326.9685,191.53441,103.08947,135.51884,228.66504,184.94344,12.400007
ADCY7,2384.0496,1539.7177,430.85623,276.53815,257.816,516.43787,241.80138,46.060474
BRD7,1797.4419,2997.6536,337.43948,249.38278,197.04327,595.19183,431.07758,60.07934
AC007493.1,0.0,20.496063,15.273845,15.09981,0.0,6.366061,0.0,0.0
NKD1,32.598953,130.91461,0.0,0.0,0.0,6.8661222,9.472777,0.0
AC007608.3,26.57696,16.407433,3.5137556,0.0,0.0,0.0,0.0,0.0
SNX20,764.20734,1057.2815,201.59518,49.625443,184.52747,208.76434,70.69032,21.307568
NOD2,1289.8558,121.88366,84.69489,0.0,79.40702,28.484327,2.496373,3.1153314
AC007728.2,217.576,111.24454,28.794659,10.421134,28.384563,7.847283,50.120415,3.5812032
CYLD,2266.3225,5926.3423,268.052,334.73837,244.22888,632.6331,418.37823,37.43737
AC007728.1,52.83116,287.8065,0.0,8.670976,0.0,16.381405,6.3233824,0.0
